"filename", "language", "TypeScript JSX", "TypeScript", "SCSS", "CSS", "XML", "comment", "blank", "total"
"c:\dev\domilix\domilix.com\src\views\Carte\components\MapsPaymentDialog.tsx", "TypeScript JSX", 145, 0, 0, 0, 0, 0, 18, 163
"c:\dev\domilix\domilix.com\src\views\Carte\data\mockListings.ts", "TypeScript", 0, 579, 0, 0, 0, 0, 2, 581
"c:\dev\domilix\domilix.com\src\views\Carte\data\types.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 5, 60
"c:\dev\domilix\domilix.com\src\views\Contact\Contact.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 0, 4, 32
"c:\dev\domilix\domilix.com\src\views\Favorites\Favorite.tsx", "TypeScript JSX", 120, 0, 0, 0, 0, 1, 9, 130
"c:\dev\domilix\domilix.com\src\views\Forgot\Forgot.tsx", "TypeScript JSX", 78, 0, 0, 0, 0, 0, 11, 89
"c:\dev\domilix\domilix.com\src\views\Furnitures\Furnitures.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 8, 12, 69
"c:\dev\domilix\domilix.com\src\views\Notifications\Notifications.tsx", "TypeScript JSX", 161, 0, 0, 0, 0, 0, 14, 175
"c:\dev\domilix\domilix.com\src\views\Privacy\Privacy.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 0, 3, 8
"c:\dev\domilix\domilix.com\src\views\ResetPassword\ResetPassword.tsx", "TypeScript JSX", 156, 0, 0, 0, 0, 0, 21, 177
"c:\dev\domilix\domilix.com\src\views\Search\Search.tsx", "TypeScript JSX", 639, 0, 0, 0, 0, 16, 56, 711
"c:\dev\domilix\domilix.com\src\views\Settings\Settings.tsx", "TypeScript JSX", 31, 0, 0, 0, 0, 0, 7, 38
"c:\dev\domilix\domilix.com\src\views\Subscriptions\Subscriptions.tsx", "TypeScript JSX", 332, 0, 0, 0, 0, 0, 17, 349
"c:\dev\domilix\domilix.com\src\views\Terrains\Terrains.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 8, 12, 69
"c:\dev\domilix\domilix.com\src\views\Validation\Validation.tsx", "TypeScript JSX", 60, 0, 0, 0, 0, 1, 5, 66
"c:\dev\domilix\domilix.com\src\views\errors\401.tsx", "TypeScript JSX", 120, 0, 0, 0, 0, 6, 13, 139
"c:\dev\domilix\domilix.com\src\views\errors\403.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 0, 4, 32
"c:\dev\domilix\domilix.com\src\views\errors\404.tsx", "TypeScript JSX", 70, 0, 0, 0, 0, 8, 13, 91
"c:\dev\domilix\domilix.com\src\views\errors\500.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 4, 30
"Total", "-", 15530, 2235, 24, 139, 194, 375, 1818, 20315
